channel_id,long_id,source,pred_Y,new_handle,new_title,new_description,old_handle,old_title,V1,V2,V3,V4,V5,V6,L1,L2,L3,L4,L5,L6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,R1,R2,DB1,DB2,DB3,DB4,DB5,N1,VPD1,VPD2,VPD3,VPD4,VPD5,VPW1,VPW2,VPW3,VPW4,VPW5,VPM1,VPM2,VPM3,VPM4,VPM5,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,pred_T2,pred_T7,pred_T9,pred_T8,pred_T14,pred_T11,pred_T13,pred_T6,pred_T5,pred_T1,pred_T3,pred_T12,pred_T4,pred_T10,unclassified,model,prompt_name,Y,X,S1
UC_03cAaP2ceEt3j1ai0OHzg,UC_03cAaP2ceEt3j1ai0OHzg,socialblade_baseline,0,,,,,,174,2667713,132101.2439,507155.4911,1702,5416151,1,17231,511.6585366,2692.175241,10,20978,0,2054,97.87804878,376.5966805,2,4013,8,524,118.4146341,96.58363619,96,100,168,0,923,75.7,206.5711773,0,41,1,6,1.708333333,1.197067673,1,1,7,2.5625,1.931105038,1.5,1,8,3.416666667,2.678477632,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,AzureOpenAI,TOPIC_EXTRACTION_FEWSHOT_0426,0,1650,3120
UC_254bD7Q3IpOzeHQFlBq9g,UC_254bD7Q3IpOzeHQFlBq9g_socialblade_@DjRamazan09_@pibblefun,socialblade,1,@pibblefun,pibble - Videos,c05e69ef8641b5f7ab4f,@DjRamazan09,DjRamazan09 - Videos,10321,6332686,1205311.571,2290969.618,322651,8437181,5,13790,2432.571429,5040.5909,540,17028,0,523,123.8571429,194.7035598,37,867,207,456,314.8571429,81.17558864,294,12,194,0,261,58.16666667,101.9988562,13.5,7,1,2,1.166666667,0.40824829,1,1,3,1.4,0.894427191,1,1,2,1.75,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,OpenAI,TOPIC_EXTRACTION_FEWSHOT_0426,NA,4454,5070
UC_2on74DOVwoinnrQzI2HWQ,UC_2on74DOVwoinnrQzI2HWQ,socialblade_baseline,0,,,,,,0,12056729,1507253.625,4262631.763,91,12058029,0,62928,7868.5,22247.39771,3,62948,0,2084,261.125,736.5532543,0.5,2089,0,1171,345.125,432.0434626,140.5,125,139,0,1922,541.1428571,755.8867703,251,8,1,2,1.142857143,0.377964473,1,1,2,1.142857143,0.377964473,1,1,2,1.142857143,0.377964473,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,AzureOpenAI,TOPIC_EXTRACTION_FEWSHOT_0426,0,837,11400
UC_2Pl-hyJkGrLz9NCAq2Knw,UC_2Pl-hyJkGrLz9NCAq2Knw,socialblade_baseline,0,,,,,,0,1178305,66116.33636,140245.0635,19042,14545594,0,66926,2285.890909,5969.250036,625.5,502896,0,1659,74.00909091,169.4801881,22,16282,0,791,150.1363636,99.73466875,127,39,110,0,119,4.940639269,11.70866305,2,220,1,3,1.111111111,0.330785525,1,1,7,2.244897959,1.429160409,2,1,21,6.666666667,5.318991132,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,AzureOpenAI,TOPIC_EXTRACTION_FEWSHOT_0426,0,2277,196000
UC_50LPmlsYsv-TwGsEL3wJQ,UC_50LPmlsYsv-TwGsEL3wJQ,socialblade_baseline,0,,,,,,27,697588,5071.458824,39471.25129,387.5,1724296,0,4112,31.69411765,232.4052901,4,10776,0,186,2.176470588,11.60935079,0,740,19,2050,347.6647059,209.0984707,375.5,138,138,0,496,11.9439528,28.4648613,8,340,1,4,1.096774194,0.414528914,1,1,8,1.254612546,0.768432108,1,1,15,2.956521739,1.934866169,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,AzureOpenAI,TOPIC_EXTRACTION_FEWSHOT_0426,0,2537,6030
UC_72OXoEI19oUoIrlHj0xhA,UC_72OXoEI19oUoIrlHj0xhA,socialblade_baseline,0,,,,,,0,102143,1114.757463,7974.931879,71.5,298755,0,1071,10.15671642,72.64415909,1,2722,0,482,3.96641791,32.2208378,0,1063,0,13171,1318.906716,1885.952582,597,76,151,0,439,8.325842697,32.73949649,1,268,1,58,1.707006369,4.726169841,1,1,58,2.458715596,5.75025299,1,1,59,5.70212766,9.08872903,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,OpenAI,TOPIC_EXTRACTION_FEWSHOT_0426,0,3821,1170
UC_7sEKKfReKHWYN3EBAiB0Q,UC_7sEKKfReKHWYN3EBAiB0Q_socialblade_@zabix210_@oivndivn,socialblade,1,@oivndivn,dfgaq,,@zabix210,Zabix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,AzureOpenAI,TOPIC_EXTRACTION_FEWSHOT_0426,NA,4045,2050
UC_7ZXauub6B7Gxqw606gKUg,UC_7ZXauub6B7Gxqw606gKUg_socialblade_@DONXHONIll_@AVDDigitaI,socialblade,1,@AVDDigitaI,AVD DigitaI,,@DONXHONIll,DON XHONI,3,1876,1312.857143,669.188172,1576,9190,0,11,5.428571429,4.197504928,5,38,0,0,0,0,0,0,6,22,12.85714286,6.067085281,12,0,0,0,4,1.333333333,1.366260102,1,7,1,1,1,0,1,3,4,3.5,0.707106781,3.5,7,7,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AzureOpenAI,TOPIC_EXTRACTION_FEWSHOT_0426,NA,1537,1470
UC_9n88mMnYABhDnla750DEg,UC_9n88mMnYABhDnla750DEg,socialblade_baseline,0,,,,,,1094,106221,12460.09756,18533.70809,5625,510864,12,904,133.0731707,179.2410933,55,5456,0,71,11.12195122,14.86303321,5,456,413,907,562.2439024,140.8954897,513,7,173,0,53,5.275,9.364382877,2,41,1,5,1.322580645,0.791079295,1,1,5,2.05,1.394538218,1.5,1,11,5.857142857,3.38765265,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AzureOpenAI,TOPIC_EXTRACTION_FEWSHOT_0426,0,3449,1380
UC_9PGNQJj4KyNwLSZOvwk5g,UC_9PGNQJj4KyNwLSZOvwk5g,socialblade_baseline,0,,,,,,14388,13852578,367643.8056,1643492.588,55042,26470354,712,110538,4918.986111,12945.09783,2589,354167,49,5946,328.5555556,707.465241,165,23656,4,1242,339.2222222,331.1157502,327.5,101,102,0,426,43.12676056,86.14637536,7,72,1,2,1.028571429,0.167801519,1,1,6,1.5,1.129865366,1,1,14,2.322580645,2.902723971,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,AzureOpenAI,TOPIC_EXTRACTION_FEWSHOT_0426,0,3297,299000
UC_aSdag39-Os1CnUOGoBq3w,UC_aSdag39-Os1CnUOGoBq3w,socialblade_baseline,0,,,,,,0,770053,13539.55121,40961.46542,3882,12821955,0,6089,158.9852165,349.1181155,90,150559,0,2117,29.38014784,82.87258839,16,27823,0,3171,222.7032735,195.9505957,240,72,162,0,490,1.898520085,16.3165206,0,947,1,4,1.503174603,0.812749803,1,1,21,4.932291667,5.226853634,3,1,85,16.32758621,20.65284308,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,AzureOpenAI,TOPIC_EXTRACTION_FEWSHOT_0426,0,2679,116000
UC_aVZ39zt-kIxt6sD6BuNlw,UC_aVZ39zt-kIxt6sD6BuNlw_socialblade_@user-ne3ix3ls4w_@jerrytbig,socialblade,1,@jerrytbig,Big Jerryt,"
",@user-ne3ix3ls4w,Вайнран,0,11003249,916043.4736,1233134.91,484754,814362648,0,235705,21515.82452,26529.47995,13076,19127568,0,32574,1866.275591,2898.034104,969,1659119,0,7365,868.8740157,495.049051,799,50,112,0,14,1.242117117,0.999968895,1,889,1,2,1.00908059,0.094912372,1,1,8,4.077981651,1.50218629,4,5,31,17.43137255,5.654219316,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,AzureOpenAI,TOPIC_EXTRACTION_FEWSHOT_0426,NA,2566,2500000
UC_C7uAOAH9RMzZs-CKCZ62w,UC_C7uAOAH9RMzZs-CKCZ62w,socialblade_baseline,0,,,,,,24,90552,4812.25,8500.253619,2084.5,1482173,1,374,32.40909091,37.63533471,22,9982,0,117,9.314935065,11.08340475,6,2869,47,1634,389.9577922,254.9526139,333,74,74,0,203,6.908794788,16.73919964,2,308,1,5,1.084507042,0.385110837,1,1,6,2.138888889,1.192113426,2,1,14,5.220338983,3.850964038,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,AzureOpenAI,TOPIC_EXTRACTION_FEWSHOT_0426,0,90,32100
UC_cKzQ_WDp_XnYLOaX0RCBg,UC_cKzQ_WDp_XnYLOaX0RCBg,socialblade_baseline,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AzureOpenAI,TOPIC_EXTRACTION_FEWSHOT_0426,0,3401,2130
UC_DzLPqAXwrMpDGCyTdkv1Q,UC_DzLPqAXwrMpDGCyTdkv1Q,socialblade_baseline,0,,,,,,8,572979,138084.7143,213005.9934,144,966593,0,2650,939.7142857,1242.933991,5,6578,0,127,26.14285714,46.44864035,0,183,32,1271,528.7142857,511.2382727,242,95,143,0,2343,480.6666667,923.1293878,83.5,7,1,2,1.166666667,0.40824829,1,1,2,1.4,0.547722558,1,1,2,1.4,0.547722558,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AzureOpenAI,TOPIC_EXTRACTION_FEWSHOT_0426,0,3351,2790
